slug,title,post_url,category,github_url,github_path,zip_folder,has_matching_source_url,mapped_source_title,notes
developed-land-use-in-the-greater-west-of-england,Developed land use in the Greater West of England,https://www.thebrunelcentre.co.uk/data-hub/developed-land-use-in-the-greater-west-of-england,housing-and-land-use,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/housing-and-land-use/Developed%20land%20use%20in%20the%20Greater%20West%20of%20England,data/housing-and-land-use/Developed land use in the Greater West of England,Datahub-data-main/data/housing-and-land-use/Developed land use in the Greater West of England,yes,Developed land use in the Greater West of England,
public-housing-stock-and-vacant-dwellings-in-the-greater-west-of-england-2001-onwards,"Public housing stock and vacant dwellings in the Greater West of England, 2001 onwards",https://www.thebrunelcentre.co.uk/data-hub/public-housing-stock-and-vacant-dwellings-in-the-greater-west-of-england-2001-onwards,housing-and-land-use,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/housing-and-land-use/Public%20housing%20stock%2C%20vacant%20dwellings,"data/housing-and-land-use/Public housing stock, vacant dwellings","Datahub-data-main/data/housing-and-land-use/Public housing stock, vacant dwellings",yes,"Public housing stock and vacant dwellings in the Greater West of England, 2001 onwards",
net-additional-dwellings-in-the-greater-west-of-england-2001-2024,"Net additional dwellings in the Greater West of England, 2001-2024",https://www.thebrunelcentre.co.uk/data-hub/net-additional-dwellings-in-the-greater-west-of-england-2001-2024,housing-and-land-use,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/housing-and-land-use/Net%20additional%20dwellings,data/housing-and-land-use/Net additional dwellings,Datahub-data-main/data/housing-and-land-use/Net additional dwellings,yes,"Net additional dwellings in the Greater West of England, 2001-2024",
housebuilding-activity-in-the-greater-west-of-england-2014-onwards,"Housebuilding activity in the Greater West of England, 2014 onwards",https://www.thebrunelcentre.co.uk/data-hub/housebuilding-activity-in-the-greater-west-of-england-2014-onwards,housing-and-land-use,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/housing-and-land-use/Housebuilding,data/housing-and-land-use/Housebuilding,Datahub-data-main/data/housing-and-land-use/Housebuilding,yes,"Housebuilding activity in the Greater West of England, 2014 onwards",
spatial-distribution-of-housing-stock-in-the-greater-west-of-england-2024,"Spatial distribution of housing stock in the Greater West of England, 2024",https://www.thebrunelcentre.co.uk/data-hub/spatial-distribution-of-housing-stock-in-the-greater-west-of-england-2024,housing-and-land-use,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/housing-and-land-use/Dwelling%20stock,data/housing-and-land-use/Dwelling stock,Datahub-data-main/data/housing-and-land-use/Dwelling stock,yes,"Spatial distribution of housing stock in the Greater West of England, 2024",
greater-west-of-england-productivity-(gva)-by-industry-group-(current-prices)-2023,"Greater West of England productivity (GVA) by industry group (current prices), 2023",https://www.thebrunelcentre.co.uk/data-hub/greater-west-of-england-productivity-(gva)-by-industry-group-(current-prices)-2023,economy,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/economy/Greater%20West%20of%20England%20GVA%20by%20industry%20group,data/economy/Greater West of England GVA by industry group,Datahub-data-main/data/economy/Greater West of England GVA by industry group,yes,"Greater West of England productivity (GVA) by industry group (current prices), 2023",
trends-in-the-number-of-private-sector-enterprises-in-the-greater-west-of-england-the-decade-up-to-2025,"Trends in the number of private sector enterprises in the Greater West of England, the decade up to 2025",https://www.thebrunelcentre.co.uk/data-hub/trends-in-the-number-of-private-sector-enterprises-in-the-greater-west-of-england-the-decade-up-to-2025,economy,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/economy/Trends%20in%20the%20number%20of%20private%20sector%20enterprises%20in%20the%20Greater%20West%20of%20England%2C%20the%20decade%20up%20to%202025,"data/economy/Trends in the number of private sector enterprises in the Greater West of England, the decade up to 2025","Datahub-data-main/data/economy/Trends in the number of private sector enterprises in the Greater West of England, the decade up to 2025",yes,"Trends in the number of private sector enterprises in the Greater West of England, the decade up to 2025",
number-of-businesses-in-the-greater-west-of-england-2025,"Number of businesses in the Greater West of England, 2025",https://www.thebrunelcentre.co.uk/data-hub/number-of-businesses-in-the-greater-west-of-england-2025,economy,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/economy/Number%20of%20businesses%20in%20the%20Greater%20West%20of%20England%2C%202025,"data/economy/Number of businesses in the Greater West of England, 2025","Datahub-data-main/data/economy/Number of businesses in the Greater West of England, 2025",yes,"Number of businesses in the Greater West of England, 2025",
businesses-in-the-greater-west-of-england-by-broad-industry-groups,Businesses in the Greater West of England by broad industry groups,https://www.thebrunelcentre.co.uk/data-hub/businesses-in-the-greater-west-of-england-by-broad-industry-groups,economy,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/economy/Businesses%20in%20the%20Greater%20West%20of%20England%20by%20broad%20industry%20groups,data/economy/Businesses in the Greater West of England by broad industry groups,Datahub-data-main/data/economy/Businesses in the Greater West of England by broad industry groups,yes,Businesses in the Greater West of England by broad industry groups,
international-trade-activities-among-businesses-in-the-south-west-of-england-2023,"International trade activities among businesses in the South West of England, 2023",https://www.thebrunelcentre.co.uk/data-hub/international-trade-activities-among-businesses-in-the-south-west-of-england-2023,economy,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/economy/South%20West%20exporters%20and%20importers,data/economy/South West exporters and importers,Datahub-data-main/data/economy/South West exporters and importers,yes,"International trade activities among businesses in the South West of England, 2023",
business-sites-and-employees-linked-to-international-trade-in-the-greater-west-of-england-2023,"Business sites and employees linked to international trade in the Greater West of England, 2023",https://www.thebrunelcentre.co.uk/data-hub/business-sites-and-employees-linked-to-international-trade-in-the-greater-west-of-england-2023,economy,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/economy/Local%20sites%20and%20employees,data/economy/Local sites and employees,Datahub-data-main/data/economy/Local sites and employees,yes,"Business sites and employees linked to international trade in the Greater West of England, 2023",
population-of-the-greater-west-of-england-2024,"Population of the Greater West of England, 2024",https://www.thebrunelcentre.co.uk/data-hub/population-of-the-greater-west-of-england-2024,population,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/population/Population%20of%20the%20Greater%20West%20of%20England,data/population/Population of the Greater West of England,Datahub-data-main/data/population/Population of the Greater West of England,yes,"Population of the Greater West of England, 2024",
population-changes-in-the-greater-west-of-england-1991-2024,"Population changes in the Greater West of England, 1991-2024",https://www.thebrunelcentre.co.uk/data-hub/population-changes-in-the-greater-west-of-england-1991-2024,population,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/population/Population%20changes%20in%20the%20Greater%20West%20of%20England,data/population/Population changes in the Greater West of England,Datahub-data-main/data/population/Population changes in the Greater West of England,yes,"Population changes in the Greater West of England, 1991-2024",
components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,"Components of population change in the Greater West of England, 2011/12 to 2023/24",https://www.thebrunelcentre.co.uk/data-hub/components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,population,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/population/Components%20of%20population%20change%20in%20the%20Greater%20West%20of%20England%2C%202011-12%20to%202023-24,"data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24","Datahub-data-main/data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24",yes,"Components of population change in the Greater West of England, 2011/12 to 2023/24",
projected-population-change-by-age-in-the-greater-west-of-england-2022-2047,"Projected population change by age in the Greater West of England, 2022-2047",https://www.thebrunelcentre.co.uk/data-hub/projected-population-change-by-age-in-the-greater-west-of-england-2022-2047,population,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/population/Projected%20population%20change%20by%20age%20in%20the%20Greater%20West%20of%20England%2C%202022%20to%202047,"data/population/Projected population change by age in the Greater West of England, 2022 to 2047","Datahub-data-main/data/population/Projected population change by age in the Greater West of England, 2022 to 2047",yes,"Projected population change by age in the Greater West of England, 2022-2047",
occupational-structure-of-employment-in-the-greater-west-of-england-2024,"Occupational structure of employment in the Greater West of England, 2024",https://www.thebrunelcentre.co.uk/data-hub/occupational-structure-of-employment-in-the-greater-west-of-england-2024,labour-market,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/labour-market/Occupational%20structure%20of%20employment%20in%20the%20GWE%2C%202024,"data/labour-market/Occupational structure of employment in the GWE, 2024","Datahub-data-main/data/labour-market/Occupational structure of employment in the GWE, 2024",yes,"Occupational structure of employment in the Greater West of England, 2024",
population-projections-at-local-authority-level-in-the-greater-west-of-england-2022-2047,"Population projections at local authority level in the Greater West of England, 2022-2047",https://www.thebrunelcentre.co.uk/data-hub/population-projections-at-local-authority-level-in-the-greater-west-of-england-2022-2047,population,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/population/Population%20projections%20at%20local%20authority%20level%20in%20the%20Greater%20West%20of%20England%2C%202022%20to%202047,"data/population/Population projections at local authority level in the Greater West of England, 2022 to 2047","Datahub-data-main/data/population/Population projections at local authority level in the Greater West of England, 2022 to 2047",yes,"Population projections at local authority level in the Greater West of England, 2022-2047",
