slug,title,post_url,category,github_url,github_path,zip_folder,has_matching_source_url,mapped_source_title,notes
housing-affordability-ratios-across-local-authorities-in-the-greater-west-of-england-2024,"Housing affordability ratios across local authorities in the Greater West of England, 2024",https://www.thebrunelcentre.co.uk/data-hub/housing-affordability-ratios-across-local-authorities-in-the-greater-west-of-england-2024,housing-and-land-use,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/housing-and-land-use/Housing%20affordability%20ratios%20across%20local%20authorities%20in%20the%20Greater%20West%20of%20England%2C%202024,"data/housing-and-land-use/Housing affordability ratios across local authorities in the Greater West of England, 2024","Datahub-data-main/data/housing-and-land-use/Housing affordability ratios across local authorities in the Greater West of England, 2024",yes,"Housing affordability ratios across local authorities in the Greater West of England, 2024",
life-expectancy-inequalities-in-the-south-west-of-england,Life expectancy inequalities in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/life-expectancy-inequalities-in-the-south-west-of-england,health,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/health/Life%20expectancy%20inequalities%20in%20the%20South%20West,data/health/Life expectancy inequalities in the South West,Datahub-data-main/data/health/Life expectancy inequalities in the South West,yes,Life expectancy inequalities in the South West of England,
healthy-life-expectancy-and-mortality-in-the-south-west-of-england,Healthy life expectancy and mortality in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/healthy-life-expectancy-and-mortality-in-the-south-west-of-england,health,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/health/Healthy%20life%20expectancy%20and%20mortality%20in%20the%20South%20West,data/health/Healthy life expectancy and mortality in the South West,Datahub-data-main/data/health/Healthy life expectancy and mortality in the South West,yes,Healthy life expectancy and mortality in the South West of England,
greenhouse-gas-emissions-per-head-and-sectoral-composition-in-the-greater-west-of-england-2023,"Greenhouse gas emissions per head and sectoral composition in the Greater West of England, 2023",https://www.thebrunelcentre.co.uk/data-hub/greenhouse-gas-emissions-per-head-and-sectoral-composition-in-the-greater-west-of-england-2023,environment,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/environment/Greenhouse%20gas%20emissions%20per%20head%20and%20sectoral%20composition%20in%20the%20Greater%20West%20of%20England,data/environment/Greenhouse gas emissions per head and sectoral composition in the Greater West of England,Datahub-data-main/data/environment/Greenhouse gas emissions per head and sectoral composition in the Greater West of England,yes,"Greenhouse gas emissions per head and sectoral composition in the Greater West of England, 2023",
greenhouse-gas-emissions-in-the-greater-west-of-england-2023,"Greenhouse gas emissions in the Greater West of England, 2023",https://www.thebrunelcentre.co.uk/data-hub/greenhouse-gas-emissions-in-the-greater-west-of-england-2023,environment,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/environment/Greenhouse%20gas%20emissions%20in%20the%20Greater%20West%20of%20England,data/environment/Greenhouse gas emissions in the Greater West of England,Datahub-data-main/data/environment/Greenhouse gas emissions in the Greater West of England,yes,"Greenhouse gas emissions in the Greater West of England, 2023",
comparisons-of-greenhouse-gas-emissions-trends-across-the-greater-west-of-england-and-selected-uk-areas,Comparisons of greenhouse gas emissions trends across the Greater West of England and selected UK areas,https://www.thebrunelcentre.co.uk/data-hub/comparisons-of-greenhouse-gas-emissions-trends-across-the-greater-west-of-england-and-selected-uk-areas,environment,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/environment/Comparisons%20of%20greenhouse%20gas%20emissions%20trends%20across%20the%20Greater%20West%20of%20England%20and%20selected%20UK%20areas,data/environment/Comparisons of greenhouse gas emissions trends across the Greater West of England and selected UK areas,Datahub-data-main/data/environment/Comparisons of greenhouse gas emissions trends across the Greater West of England and selected UK areas,yes,Comparisons of greenhouse gas emissions trends across the Greater West of England and selected UK areas,
high-growth-enterprises-in-the-greater-west-of-england-2019-2024,"High growth enterprises in the Greater West of England, 2019-2024",https://www.thebrunelcentre.co.uk/data-hub/high-growth-enterprises-in-the-greater-west-of-england-2019-2024,economy,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/economy/High%20growth%20enterprises%20in%20the%20Greater%20West%20of%20England,data/economy/High growth enterprises in the Greater West of England,Datahub-data-main/data/economy/High growth enterprises in the Greater West of England,yes,"High growth enterprises in the Greater West of England, 2019-2024",
foreign-direct-investment-in-the-south-west-(total-number-of-projects-and-associated-jobs),Foreign direct investment in the South West (total number of projects and associated jobs) ,https://www.thebrunelcentre.co.uk/data-hub/foreign-direct-investment-in-the-south-west-(total-number-of-projects-and-associated-jobs),economy,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/economy/Foreign%20direct%20investment%20in%20the%20South%20West,data/economy/Foreign direct investment in the South West,Datahub-data-main/data/economy/Foreign direct investment in the South West,yes,Foreign direct investment in the South West (total number of projects and associated jobs),
gdp-variation-across-the-uk-and-greater-west-of-england-2023,"GDP variation across the UK and Greater West of England, 2023",https://www.thebrunelcentre.co.uk/data-hub/gdp-variation-across-the-uk-and-greater-west-of-england-2023,economy,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/economy/GDP%20geographic%20differences%20across%20the%20UK%20and%20the%20Greater%20West%20of%20England,data/economy/GDP geographic differences across the UK and the Greater West of England,Datahub-data-main/data/economy/GDP geographic differences across the UK and the Greater West of England,yes,"GDP variation across the UK and Greater West of England, 2023",
change-in-gdp-across-uk-regions-and-local-areas-in-the-greater-west-of-england-2013-to-2023,"Change in GDP across UK regions and local areas in the Greater West of England, 2013 to 2023",https://www.thebrunelcentre.co.uk/data-hub/change-in-gdp-across-uk-regions-and-local-areas-in-the-greater-west-of-england-2013-to-2023,economy,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/economy/GDP%20comparisons%20of%20change%20across%20regions%20and%20local%20areas,data/economy/GDP comparisons of change across regions and local areas,Datahub-data-main/data/economy/GDP comparisons of change across regions and local areas,yes,"Change in GDP across UK regions and local areas in the Greater West of England, 2013 to 2023",
foreign-direct-investment-in-the-south-west-by-project-type-and-investor-characteristics,Foreign direct investment in the South West by project type and investor characteristics,https://www.thebrunelcentre.co.uk/data-hub/foreign-direct-investment-in-the-south-west-by-project-type-and-investor-characteristics,economy,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/economy/Foreign%20direct%20investment%20in%20the%20South%20West%20by%20project%20type%20and%20investor%20characteristics,data/economy/Foreign direct investment in the South West by project type and investor characteristics,Datahub-data-main/data/economy/Foreign direct investment in the South West by project type and investor characteristics,yes,Foreign direct investment in the South West by project type and investor characteristics,
gross-domestic-product-(gdp)-in-the-greater-west-of-england,Gross domestic product (GDP) in the Greater West of England,https://www.thebrunelcentre.co.uk/data-hub/gross-domestic-product-(gdp)-in-the-greater-west-of-england,economy,https://github.com/thebrunelcentre/Datahub-data/tree/main/data/economy/Gross%20domestic%20product%20in%20the%20Greater%20West%20of%20England,data/economy/Gross domestic product in the Greater West of England,Datahub-data-main/data/economy/Gross domestic product in the Greater West of England,yes,Gross domestic product (GDP) in the Greater West of England,
