slug,public_post_title,public_post_url,category,topic_family,github_path,zip_folder,workbook_count_for_post,matched_workbook_count_for_post,folder_match_warning,workbook_path,workbook_file_name,sheets_detected,analysis_sheet_exists,chosen_analysis_sheet,raw_sheets_exist,raw_sheet_names,candidate_source_data_sheet_names,detailed_source_data_sheets_exist,detailed_source_data_sheet_names,excluded_non_data_sheets,metadata_sheets,raw_sheet_structure,source_data_sheet_structure,key_columns,available_measure_types,supported_breakdowns,counts_available,numerators_denominators_available,confidence_intervals_available,current_parser_can_ingest,limitations_or_warnings
population-of-the-greater-west-of-england-2024,"Population of the Greater West of England, 2024",https://www.thebrunelcentre.co.uk/data-hub/population-of-the-greater-west-of-england-2024,population,population,data/population/Population of the Greater West of England,Datahub-data-main/data/population/Population of the Greater West of England,3,3,,"Datahub-data-main/data/population/Population of the Greater West of England/Population across the Greater West of England by Local authority area, mid-2024.xlsx","Population across the Greater West of England by Local authority area, mid-2024.xlsx",Metadata; analysis_data,yes,analysis_data,no,,,no,,,Metadata,none detected,none detected,Region; Geography; Mid-2024 population,,local authority/geography,yes,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
population-of-the-greater-west-of-england-2024,"Population of the Greater West of England, 2024",https://www.thebrunelcentre.co.uk/data-hub/population-of-the-greater-west-of-england-2024,population,population,data/population/Population of the Greater West of England,Datahub-data-main/data/population/Population of the Greater West of England,3,3,,"Datahub-data-main/data/population/Population of the Greater West of England/Population by Westminster parliamentary constituency within the Greater West of England, 2024.xlsx","Population by Westminster parliamentary constituency within the Greater West of England, 2024.xlsx",Metadata; Data; analysis_data,yes,analysis_data,no,,Data,yes,Data,,Metadata,long_or_tabular_rows (geography/time/value columns),long_or_tabular_rows (geography/time/value columns),Westminster Parliamentary Constituency (July 2024); 2024; Population estimates - small area (2021 based) by single year of age - England and Wales,denominators/base; time-series values,local authority/geography; age; time/year,yes,yes,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'Data' is long_or_tabular_rows (geography/time/value columns); it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations."
population-of-the-greater-west-of-england-2024,"Population of the Greater West of England, 2024",https://www.thebrunelcentre.co.uk/data-hub/population-of-the-greater-west-of-england-2024,population,population,data/population/Population of the Greater West of England,Datahub-data-main/data/population/Population of the Greater West of England,3,3,,"Datahub-data-main/data/population/Population of the Greater West of England/Population of the Greater West of England compared with English combined authority areas, mid-2024.xlsx","Population of the Greater West of England compared with English combined authority areas, mid-2024.xlsx",Metadata; analysis_data,yes,analysis_data,no,,,no,,,Metadata,none detected,none detected,Liverpool City Region; 1607084,confidence intervals,local authority/geography,no/unclear from sampled headers,no/unclear from sampled headers,yes,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
population-changes-in-the-greater-west-of-england-1991-2024,"Population changes in the Greater West of England, 1991-2024",https://www.thebrunelcentre.co.uk/data-hub/population-changes-in-the-greater-west-of-england-1991-2024,population,population,data/population/Population changes in the Greater West of England,Datahub-data-main/data/population/Population changes in the Greater West of England,4,4,,Datahub-data-main/data/population/Population changes in the Greater West of England/Annual population growth in the Greater West of England and England since 1991.xlsx,Annual population growth in the Greater West of England and England since 1991.xlsx,Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,long_or_tabular_rows (geography/time/value columns),long_or_tabular_rows (geography/time/value columns),Date; England % change; Greater West of England % change; Population estimates - local authority based by single year of age,denominators/base; time-series values; rates/percentages/proportions,local authority/geography; age; time/year,yes,yes,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is long_or_tabular_rows (geography/time/value columns); it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations."
population-changes-in-the-greater-west-of-england-1991-2024,"Population changes in the Greater West of England, 1991-2024",https://www.thebrunelcentre.co.uk/data-hub/population-changes-in-the-greater-west-of-england-1991-2024,population,population,data/population/Population changes in the Greater West of England,Datahub-data-main/data/population/Population changes in the Greater West of England,4,4,,Datahub-data-main/data/population/Population changes in the Greater West of England/Population change by age band across local authority areas in the Greater West of England.xlsx,Population change by age band across local authority areas in the Greater West of England.xlsx,Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_unknown_structure,tabular_unknown_structure,Region; Date; Age Band; Population; Aged 0 to 15; Aged 16 to 24; Aged 50 to 64; Aged 65+; Aged 25-29; Aged 30-34; Aged 35-39; Aged 40-44; Aged 45-49,time-series values,local authority/geography; age; time/year,yes,no/unclear from sampled headers,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_unknown_structure; it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
population-changes-in-the-greater-west-of-england-1991-2024,"Population changes in the Greater West of England, 1991-2024",https://www.thebrunelcentre.co.uk/data-hub/population-changes-in-the-greater-west-of-england-1991-2024,population,population,data/population/Population changes in the Greater West of England,Datahub-data-main/data/population/Population changes in the Greater West of England,4,4,,Datahub-data-main/data/population/Population changes in the Greater West of England/Population change by age group in the Greater West of England.xlsx,Population change by age group in the Greater West of England.xlsx,Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_unknown_structure,tabular_unknown_structure,Date; Age Band; Population; Age 0 - 4; Aged 5-9; Aged 10-14; Aged 15-19; Aged 20-24; Aged 25-29; Aged 30-34; Aged 35-39; Aged 40-44; Aged 45-49; Aged 50-54,time-series values,age; time/year,yes,no/unclear from sampled headers,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_unknown_structure; it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
population-changes-in-the-greater-west-of-england-1991-2024,"Population changes in the Greater West of England, 1991-2024",https://www.thebrunelcentre.co.uk/data-hub/population-changes-in-the-greater-west-of-england-1991-2024,population,population,data/population/Population changes in the Greater West of England,Datahub-data-main/data/population/Population changes in the Greater West of England,4,4,,Datahub-data-main/data/population/Population changes in the Greater West of England/Population of the Greater West of England since 1991.xlsx,Population of the Greater West of England since 1991.xlsx,Metadata; raw_data; Analysis,yes,Analysis,yes,raw_data,,yes,raw_data,,Metadata,long_or_tabular_rows (geography/time/value columns),long_or_tabular_rows (geography/time/value columns),Date; Greater West of England; Population estimates - local authority based by single year of age,denominators/base; time-series values,local authority/geography; age; time/year,yes,yes,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is long_or_tabular_rows (geography/time/value columns); it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations."
components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,"Components of population change in the Greater West of England, 2011/12 to 2023/24",https://www.thebrunelcentre.co.uk/data-hub/components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,population,population,"data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24","Datahub-data-main/data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24",5,5,,"Datahub-data-main/data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24/Births and deaths in the Greater West of England, 201112 to 202324.xlsx","Births and deaths in the Greater West of England, 201112 to 202324.xlsx",Metadata; analysis_data,yes,analysis_data,no,,,no,,,Metadata,none detected,none detected,Region; Components; Year; Population,time-series values,local authority/geography; time/year; health outcome,yes,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,"Components of population change in the Greater West of England, 2011/12 to 2023/24",https://www.thebrunelcentre.co.uk/data-hub/components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,population,population,"data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24","Datahub-data-main/data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24",5,5,,"Datahub-data-main/data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24/Components of population change in the Greater West of England, 201112 to 202324.xlsx","Components of population change in the Greater West of England, 201112 to 202324.xlsx",Metadata; analysis_data,yes,analysis_data,no,,,no,,,Metadata,none detected,none detected,Region; Component; Year; Annual population change,time-series values,local authority/geography; time/year,yes,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,"Components of population change in the Greater West of England, 2011/12 to 2023/24",https://www.thebrunelcentre.co.uk/data-hub/components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,population,population,"data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24","Datahub-data-main/data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24",5,5,,"Datahub-data-main/data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24/International migration into and out of the Greater West of England, 201112 to 202324.xlsx","International migration into and out of the Greater West of England, 201112 to 202324.xlsx",Metadata; Analysis_data,yes,Analysis_data,no,,,no,,,Metadata,none detected,none detected,Region; Components; Year; Population,ratios/prices; time-series values,local authority/geography; time/year,yes,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,"Components of population change in the Greater West of England, 2011/12 to 2023/24",https://www.thebrunelcentre.co.uk/data-hub/components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,population,population,"data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24","Datahub-data-main/data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24",5,5,,"Datahub-data-main/data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24/Net internal migration by age and sex in the Greater West of England, 201920 to 202324.xlsx","Net internal migration by age and sex in the Greater West of England, 201920 to 202324.xlsx",Metadata; analysis_data,yes,analysis_data,no,,,no,,,Metadata,none detected,none detected,AgeBand; Sex; Net migration change 2019-2024,ratios/prices,age; sex/gender,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,"Components of population change in the Greater West of England, 2011/12 to 2023/24",https://www.thebrunelcentre.co.uk/data-hub/components-of-population-change-in-the-greater-west-of-england-2011-12-to-2023-24,population,population,"data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24","Datahub-data-main/data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24",5,5,,"Datahub-data-main/data/population/Components of population change in the Greater West of England, 2011-12 to 2023-24/Population change by component across local authority areas in the Greater West of England.xlsx",Population change by component across local authority areas in the Greater West of England.xlsx,Metadata; analysis_data,yes,analysis_data,no,,,no,,,Metadata,none detected,none detected,Area; Components; Year; Population,time-series values,local authority/geography; time/year,yes,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
projected-population-change-by-age-in-the-greater-west-of-england-2022-2047,"Projected population change by age in the Greater West of England, 2022-2047",https://www.thebrunelcentre.co.uk/data-hub/projected-population-change-by-age-in-the-greater-west-of-england-2022-2047,population,population,"data/population/Projected population change by age in the Greater West of England, 2022 to 2047","Datahub-data-main/data/population/Projected population change by age in the Greater West of England, 2022 to 2047",3,3,,"Datahub-data-main/data/population/Projected population change by age in the Greater West of England, 2022 to 2047/Projected percentage change in population by age group in the Greater West of England and England, 2022 to 2032 and 2022 to 2047.xlsx","Projected percentage change in population by age group in the Greater West of England and England, 2022 to 2032 and 2022 to 2047.xlsx",Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_measure_columns (geography plus measure/value columns),tabular_measure_columns (geography plus measure/value columns),Region; Aged 0 to 15; Aged 16 to 24; Aged 25-34; Aged 35-44; Aged 45-54; Aged 55-64; Aged 65-74; Aged 75 and over; local authority: county / unitary (as of April 2021); Aged 25-29; Aged 30-34; Aged 35-39; Aged 40-44; Aged 45-49; Aged 50-54; Aged 55-59; Aged 60-64; Aged 65-69,rates/percentages/proportions; counts/numbers,local authority/geography; age,yes,no/unclear from sampled headers,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_measure_columns (geography plus measure/value columns); it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
