slug,public_post_title,public_post_url,category,topic_family,github_path,zip_folder,workbook_count_for_post,matched_workbook_count_for_post,folder_match_warning,workbook_path,workbook_file_name,sheets_detected,analysis_sheet_exists,chosen_analysis_sheet,raw_sheets_exist,raw_sheet_names,candidate_source_data_sheet_names,detailed_source_data_sheets_exist,detailed_source_data_sheet_names,excluded_non_data_sheets,metadata_sheets,raw_sheet_structure,source_data_sheet_structure,key_columns,available_measure_types,supported_breakdowns,counts_available,numerators_denominators_available,confidence_intervals_available,current_parser_can_ingest,limitations_or_warnings
child-poverty-before-housing-costs-in-the-greater-west-of-england-(children-aged-0-15),"Child poverty before housing costs in the Greater West of England (Children, aged 0-15)",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-before-housing-costs-in-the-greater-west-of-england-(children-aged-0-15),poverty-and-deprivation,poverty/deprivation,data/poverty-and-deprivation/Child Poverty Before Housing Costs,Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-15),3,3,,Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-15)/Child poverty before housing costs (0-15).xlsx,Child poverty before housing costs (0-15).xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; Greater West of England 2023-24; UK 2023-24; Local Authorities 2023-24,,local authority/geography; deprivation/income,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
child-poverty-before-housing-costs-in-the-greater-west-of-england-(children-aged-0-15),"Child poverty before housing costs in the Greater West of England (Children, aged 0-15)",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-before-housing-costs-in-the-greater-west-of-england-(children-aged-0-15),poverty-and-deprivation,poverty/deprivation,data/poverty-and-deprivation/Child Poverty Before Housing Costs,Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-15),3,3,,Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-15)/Child poverty geographic comparisons BHC (aged 0-15).xlsx,Child poverty geographic comparisons BHC (aged 0-15).xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; Greater West of England 2023-24; UK 2023-24; Combined Authorities 2023-24,,local authority/geography; age; deprivation/income,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
child-poverty-before-housing-costs-in-the-greater-west-of-england-(children-aged-0-15),"Child poverty before housing costs in the Greater West of England (Children, aged 0-15)",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-before-housing-costs-in-the-greater-west-of-england-(children-aged-0-15),poverty-and-deprivation,poverty/deprivation,data/poverty-and-deprivation/Child Poverty Before Housing Costs,Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-15),3,3,,Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-15)/Recent trends in child poverty before housing costs (0-15).xlsx,Recent trends in child poverty before housing costs (0-15).xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; 2014/15; 2015/16; 2016/17; 2017/18; 2018/19; 2019/20; 2020/21; 2021/22; 2022/23; 2023/24,,local authority/geography; deprivation/income,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
child-poverty-before-housing-costs-in-the-greater-west-of-england-(dependent-children-aged-0-19),"Child poverty before housing costs in the Greater West of England (Dependent children, aged 0-19)",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-before-housing-costs-in-the-greater-west-of-england-(dependent-children-aged-0-19),poverty-and-deprivation,poverty/deprivation,data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-19),Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-19),3,3,,Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-19)/Child poverty before housing costs (0-19).xlsx,Child poverty before housing costs (0-19).xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; Greater West of England 2023-24; UK 2023-24; Local Authorities 2023-24,,local authority/geography; deprivation/income,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
child-poverty-before-housing-costs-in-the-greater-west-of-england-(dependent-children-aged-0-19),"Child poverty before housing costs in the Greater West of England (Dependent children, aged 0-19)",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-before-housing-costs-in-the-greater-west-of-england-(dependent-children-aged-0-19),poverty-and-deprivation,poverty/deprivation,data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-19),Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-19),3,3,,Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-19)/Child poverty geographic comparisons BHC (0-19).xlsx,Child poverty geographic comparisons BHC (0-19).xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; Greater West of England 2023-24; UK 2023-24; Combined Authorities 2023-24,,local authority/geography; deprivation/income,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
child-poverty-before-housing-costs-in-the-greater-west-of-england-(dependent-children-aged-0-19),"Child poverty before housing costs in the Greater West of England (Dependent children, aged 0-19)",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-before-housing-costs-in-the-greater-west-of-england-(dependent-children-aged-0-19),poverty-and-deprivation,poverty/deprivation,data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-19),Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-19),3,3,,Datahub-data-main/data/poverty-and-deprivation/Child poverty BHC in the Greater West of England (0-19)/Recent trends in child poverty BHC (0-19).xlsx,Recent trends in child poverty BHC (0-19).xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; 2014/15; 2015/16; 2016/17; 2017/18; 2018/19; 2019/20; 2020/21; 2021/22; 2022/23; 2023/24,,local authority/geography; deprivation/income,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
commuting-between-local-authorities-in-the-greater-west-of-england-2021,"Commuting between local authorities in the Greater West of England, 2021",https://www.thebrunelcentre.co.uk/data-hub/commuting-between-local-authorities-in-the-greater-west-of-england-2021,transport,transport,"data/transport/Commuting between local authorities in the Greater West of England, 2021","Datahub-data-main/data/transport/Commuting between local authorities in the Greater West of England, 2021",2,2,,"Datahub-data-main/data/transport/Commuting between local authorities in the Greater West of England, 2021/Commuting flows between place of residence and workplace, Census 2021_21012026.xlsx","Commuting flows between place of residence and workplace, Census 2021_21012026.xlsx",Metadata; raw_data; Analysis_data; further_analysis,yes,Analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_measure_columns (geography plus measure/value columns),tabular_measure_columns (geography plus measure/value columns),date; local_authority; total_residents_who_are_workers; total_residents_who_are_workers_excluding_wfh; total_residents_who_wfh; total_workers_in_la; total_workers_in_la_excluding_wfh; residents_working_in_different_la; workers_commuting_from_different_la; percentage_residents_working_in_different_la; percentage_residents_working_in_different_la_excluding_wfh; percent_workers_commuting_from_different_la; Upper tier local authorities code; Upper tier local authorities label; UTLA of workplace code; UTLA of workplace label; Place of work indicator (4 categories) code; Place of work indicator (4 categories) label; Count,counts/numbers; confidence intervals; rates/percentages/proportions; totals; time-series values,local authority/geography; transport mode/distance; age; time/year,yes,no/unclear from sampled headers,yes,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_measure_columns (geography plus measure/value columns); it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
commuting-between-local-authorities-in-the-greater-west-of-england-2021,"Commuting between local authorities in the Greater West of England, 2021",https://www.thebrunelcentre.co.uk/data-hub/commuting-between-local-authorities-in-the-greater-west-of-england-2021,transport,transport,"data/transport/Commuting between local authorities in the Greater West of England, 2021","Datahub-data-main/data/transport/Commuting between local authorities in the Greater West of England, 2021",2,2,,"Datahub-data-main/data/transport/Commuting between local authorities in the Greater West of England, 2021/Commuting flows by place of residence and workplace (counts), Census 2021.xlsx","Commuting flows by place of residence and workplace (counts), Census 2021.xlsx",Metadata; Data; Analysis; further_analysis,yes,Analysis,no,,Data,yes,Data,,Metadata,tabular_measure_columns (geography plus measure/value columns),tabular_measure_columns (geography plus measure/value columns),home_la; work_grouped; home_to_workplace; home_to_workplace_excluding_wfh; proportion_of_residents; proportion_of_residents_excluding_wfh; proportion_of_workers; proportion_of_workers_excluding_wfh; Upper tier local authorities code; Upper tier local authorities label; UTLA of workplace code; UTLA of workplace label; Place of work indicator (4 categories) code; Place of work indicator (4 categories) label; Count,counts/numbers; confidence intervals; rates/percentages/proportions,local authority/geography; transport mode/distance,yes,no/unclear from sampled headers,yes,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'Data' is tabular_measure_columns (geography plus measure/value columns); it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,"Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",https://www.thebrunelcentre.co.uk/data-hub/travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,transport,transport; employment/labour market,"data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021","Datahub-data-main/data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",5,5,,"Datahub-data-main/data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021/Distance travelled to work by local authority, 2021.xlsx","Distance travelled to work by local authority, 2021.xlsx",Metadata; Raw_data; analysis_data,yes,analysis_data,yes,Raw_data,,yes,Raw_data,,Metadata,long_or_tabular_rows (geography/time/value columns),long_or_tabular_rows (geography/time/value columns),"Geography; Measure Names; Measure Values; Area; Total: All usual residents aged 16 years and over in employment the week before the census; Less than 2km; 2km to less than 5km; 5km to less than 10km; 10km to less than 20km; 20km to less than 30km; 30km to less than 40km; 40km to less than 60km; 60km and over; Works mainly from home; Works mainly at an offshore installation, in no fixed place, or outside the UK",totals; time-series values,local authority/geography; age; transport mode/distance; time/year,yes,no/unclear from sampled headers,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'Raw_data' is long_or_tabular_rows (geography/time/value columns); it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,"Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",https://www.thebrunelcentre.co.uk/data-hub/travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,transport,transport; employment/labour market,"data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021","Datahub-data-main/data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",5,5,,"Datahub-data-main/data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021/Distance travelled to work, % of workers, national comparisons, 2021.xlsx","Distance travelled to work, % of workers, national comparisons, 2021.xlsx",Metadata; Raw_data; analysis_data,yes,analysis_data,yes,Raw_data,,yes,Raw_data,,Metadata,long_or_tabular_rows (geography/time/value columns),long_or_tabular_rows (geography/time/value columns),"Measure Names; Geography; Measure Values; Area; Total: All usual residents aged 16 years and over in employment the week before the census; Less than 2km; 2km to less than 5km; 5km to less than 10km; 10km to less than 20km; 20km to less than 30km; 30km to less than 40km; 40km to less than 60km; 60km and over; Works mainly from home; Works mainly at an offshore installation, in no fixed place, or outside the UK",rates/percentages/proportions; totals; time-series values,local authority/geography; age; transport mode/distance; time/year,yes,no/unclear from sampled headers,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'Raw_data' is long_or_tabular_rows (geography/time/value columns); it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,"Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",https://www.thebrunelcentre.co.uk/data-hub/travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,transport,transport; employment/labour market,"data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021","Datahub-data-main/data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",5,5,,"Datahub-data-main/data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021/Distance travelled to work, GWE, 2011 and 2021.xlsx","Distance travelled to work, GWE, 2011 and 2021.xlsx",Metadata; Raw_data; analysis_data,yes,analysis_data,yes,Raw_data,,yes,Raw_data,,Metadata,long_or_tabular_rows (geography/time/value columns),long_or_tabular_rows (geography/time/value columns),"Measure Names; Date; Measure Values; Area; Total: All usual residents aged 16 years and over in employment the week before the census; Less than 2km; 2km to less than 5km; 5km to less than 10km; 10km to less than 20km; 20km to less than 30km; 30km to less than 40km; 40km to less than 60km; 60km and over; Works mainly from home; Works mainly at an offshore installation, in no fixed place, or outside the UK",totals; time-series values,local authority/geography; age; transport mode/distance; time/year,yes,no/unclear from sampled headers,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'Raw_data' is long_or_tabular_rows (geography/time/value columns); it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,"Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",https://www.thebrunelcentre.co.uk/data-hub/travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,transport,transport; employment/labour market,"data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021","Datahub-data-main/data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",5,5,,"Datahub-data-main/data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021/Travel to work by local authority, 2021.xlsx","Travel to work by local authority, 2021.xlsx",Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_unknown_structure,tabular_unknown_structure,Geography; Measure Names; Measure Values; number; %,rates/percentages/proportions; counts/numbers,local authority/geography; transport mode/distance,yes,no/unclear from sampled headers,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_unknown_structure; it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,"Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",https://www.thebrunelcentre.co.uk/data-hub/travel-to-work-in-the-greater-west-of-england-distance-travelled-and-mode-of-transport-2021,transport,transport; employment/labour market,"data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021","Datahub-data-main/data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021",5,5,,"Datahub-data-main/data/transport/Travel to work in the Greater West of England: Distance travelled and mode of transport, 2021/Travel to work by mode, 2011 and 2021.xlsx","Travel to work by mode, 2011 and 2021.xlsx",Metadata; raw_data; analysis_data,yes,analysis_data,yes,raw_data,,yes,raw_data,,Metadata,tabular_unknown_structure,tabular_unknown_structure,Measure Names; Date; Measure Values; number; %,rates/percentages/proportions; counts/numbers; time-series values,transport mode/distance; time/year,yes,no/unclear from sampled headers,no/unclear from sampled headers,fallback - searchable source-row snippets should ingest; targeted parser needed for structured calculations,"Detailed/source-data sheet 'raw_data' is tabular_unknown_structure; it should ingest as searchable row snippets, but targeted parsing is still needed for structured calculations. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
travel-time-to-major-employment-centres-in-the-greater-west-of-england-2019,"Travel time to major employment centres in the Greater West of England, 2019",https://www.thebrunelcentre.co.uk/data-hub/travel-time-to-major-employment-centres-in-the-greater-west-of-england-2019,transport,transport; employment/labour market,"data/transport/Travel time to major employment centres in the Greater West of England, 2019","Datahub-data-main/data/transport/Travel time to major employment centres in the Greater West of England, 2019",1,1,,"Datahub-data-main/data/transport/Travel time to major employment centres in the Greater West of England, 2019/access_to_major_employment_centres.xlsx",access_to_major_employment_centres.xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,geography; transport_mode; travel_time_to_employment_centre; n_employment_centres_within_30_mins; percent_users_within_30_mins,rates/percentages/proportions,local authority/geography; transport mode/distance; time/year,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Rates/ratios appear available, but sampled headers do not show counts or denominators."
access-to-key-services-in-the-greater-west-of-england-schools-town-centres-and-hospitals-2019,"Access to key services in the Greater West of England: schools, town centres and hospitals, 2019",https://www.thebrunelcentre.co.uk/data-hub/access-to-key-services-in-the-greater-west-of-england-schools-town-centres-and-hospitals-2019,transport,transport,"data/transport/Access to key services in the Greater West of England: schools, town centres and hospitals","Datahub-data-main/data/transport/Access to key services in the Greater West of England: schools, town centres and hospitals",2,2,,"Datahub-data-main/data/transport/Access to key services in the Greater West of England: schools, town centres and hospitals/Access to key services in the Greater West of England schools, town centres and hospitals.xlsx","Access to key services in the Greater West of England schools, town centres and hospitals.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,geography; transport_mode; service; minimum_journey_time; n_within_30_mins,,local authority/geography; transport mode/distance; time/year,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
access-to-key-services-in-the-greater-west-of-england-schools-town-centres-and-hospitals-2019,"Access to key services in the Greater West of England: schools, town centres and hospitals, 2019",https://www.thebrunelcentre.co.uk/data-hub/access-to-key-services-in-the-greater-west-of-england-schools-town-centres-and-hospitals-2019,transport,transport,"data/transport/Access to key services in the Greater West of England: schools, town centres and hospitals","Datahub-data-main/data/transport/Access to key services in the Greater West of England: schools, town centres and hospitals",2,2,,"Datahub-data-main/data/transport/Access to key services in the Greater West of England: schools, town centres and hospitals/transport_related_social_exclusion_17022026.xlsx",transport_related_social_exclusion_17022026.xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,geography; geography_type; percent_at_risk_of_TRSE; number_at_risk_of_TRSE; total_population_estimate,rates/percentages/proportions; counts/numbers; totals; confidence intervals,local authority/geography; occupation; transport mode/distance,yes,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,"No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source. Counts/totals appear available, but numerator/denominator pairs are not clearly labelled in sampled headers."
child-poverty-after-housing-costs-in-the-west-of-england-area-2023-24,"Child poverty after housing costs in the West of England area, 2023/24",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-after-housing-costs-in-the-west-of-england-area-2023-24,poverty-and-deprivation,poverty/deprivation,data/poverty-and-deprivation/Child Poverty (After Housing Costs),Datahub-data-main/data/poverty-and-deprivation/Child Poverty (After Housing Costs),4,4,,Datahub-data-main/data/poverty-and-deprivation/Child Poverty (After Housing Costs)/Child poverty after housing costs.xlsx,Child poverty after housing costs.xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; GWE (2023-2024); UK 2023-24; GWE LA areas 2023-24,,local authority/geography; deprivation/income,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
child-poverty-after-housing-costs-in-the-west-of-england-area-2023-24,"Child poverty after housing costs in the West of England area, 2023/24",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-after-housing-costs-in-the-west-of-england-area-2023-24,poverty-and-deprivation,poverty/deprivation,data/poverty-and-deprivation/Child Poverty (After Housing Costs),Datahub-data-main/data/poverty-and-deprivation/Child Poverty (After Housing Costs),4,4,,Datahub-data-main/data/poverty-and-deprivation/Child Poverty (After Housing Costs)/Child poverty geographic comparisons AHC (dependent children).xlsx,Child poverty geographic comparisons AHC (dependent children).xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; GWE area 2023-24; UK 2023-24; Other CA areas 2023-24,,local authority/geography; deprivation/income,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
child-poverty-after-housing-costs-in-the-west-of-england-area-2023-24,"Child poverty after housing costs in the West of England area, 2023/24",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-after-housing-costs-in-the-west-of-england-area-2023-24,poverty-and-deprivation,poverty/deprivation,data/poverty-and-deprivation/Child Poverty (After Housing Costs),Datahub-data-main/data/poverty-and-deprivation/Child Poverty (After Housing Costs),4,4,,Datahub-data-main/data/poverty-and-deprivation/Child Poverty (After Housing Costs)/Child poverty within the Greater West of England constituencies AHC (dependent children).xlsx,Child poverty within the Greater West of England constituencies AHC (dependent children).xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; GWE LA area 2023-24; UK 2023-24; Constituencies 2023-24,confidence intervals,local authority/geography; deprivation/income,no/unclear from sampled headers,no/unclear from sampled headers,yes,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
child-poverty-after-housing-costs-in-the-west-of-england-area-2023-24,"Child poverty after housing costs in the West of England area, 2023/24",https://www.thebrunelcentre.co.uk/data-hub/child-poverty-after-housing-costs-in-the-west-of-england-area-2023-24,poverty-and-deprivation,poverty/deprivation,data/poverty-and-deprivation/Child Poverty (After Housing Costs),Datahub-data-main/data/poverty-and-deprivation/Child Poverty (After Housing Costs),4,4,,Datahub-data-main/data/poverty-and-deprivation/Child Poverty (After Housing Costs)/Trends in Child Poverty (after housing costs).xlsx,Trends in Child Poverty (after housing costs).xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; 2014/15; 2015/16; 2016/17; 2017/18; 2018/19; 2019/20; 2020/21; 2021/22; 2022/23; 2023/24,,local authority/geography; deprivation/income,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
additional-regional-data-on-child-poverty-in-the-south-west-of-england,Additional regional data on child poverty in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/additional-regional-data-on-child-poverty-in-the-south-west-of-england,poverty-and-deprivation,poverty/deprivation; population,data/poverty-and-deprivation/Additional Regional Data,Datahub-data-main/data/poverty-and-deprivation/Additional Regional Data,4,4,,Datahub-data-main/data/poverty-and-deprivation/Additional Regional Data/Age group household income profiles.xlsx,Age group household income profiles.xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,''; South West children; South West working age adults; South West pensioners; UK children; UK working age adults; UK pensioners,currency/value,age; deprivation/income,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
additional-regional-data-on-child-poverty-in-the-south-west-of-england,Additional regional data on child poverty in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/additional-regional-data-on-child-poverty-in-the-south-west-of-england,poverty-and-deprivation,poverty/deprivation; population,data/poverty-and-deprivation/Additional Regional Data,Datahub-data-main/data/poverty-and-deprivation/Additional Regional Data,4,4,,"Datahub-data-main/data/poverty-and-deprivation/Additional Regional Data/Child, working-age and pensioner poverty trends, South West.xlsx","Child, working-age and pensioner poverty trends, South West.xlsx",Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,''; 94/95-96/97; 95/96-97/98; 96/97-98/99; 97/98-99/00; 98/99-00/01; 99/00-01/02; 00/01-02/03; 01/02-03/04; 02/03-04/05; 03/04-05/06; 04/05-06/07,,age; deprivation/income,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
additional-regional-data-on-child-poverty-in-the-south-west-of-england,Additional regional data on child poverty in the South West of England,https://www.thebrunelcentre.co.uk/data-hub/additional-regional-data-on-child-poverty-in-the-south-west-of-england,poverty-and-deprivation,poverty/deprivation,data/poverty-and-deprivation/Additional Regional Data,Datahub-data-main/data/poverty-and-deprivation/Additional Regional Data,4,4,,Datahub-data-main/data/poverty-and-deprivation/Additional Regional Data/Long term trends in South West child poverty.xlsx,Long term trends in South West child poverty.xlsx,Metadata; Analysis,yes,Analysis,no,,,no,,,Metadata,none detected,none detected,Area; 94/95-96/97; 95/96-97/98; 96/97-98/99; 97/98-99/00; 98/99-00/01; 99/00-01/02; 00/01-02/03; 01/02-03/04; 02/03-04/05; 03/04-05/06; 04/05-06/07,,local authority/geography; deprivation/income,no/unclear from sampled headers,no/unclear from sampled headers,no/unclear from sampled headers,not applicable for raw facts - no detailed/source-data sheet detected; analysis rows still ingest,No detailed/source-data sheet detected; deeper calculation must rely on article/analysis rows or another source.
